,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9000.26,10,193.0,10000.0
2,8103.01,30,387.0,9892.885
3,8479.54,32,310.0,9995.44
4,8637.485,37,279.0,10058.99
5,8911.66,66,224.0,10028.3
6,9135.4,91,180.0,10050.699999999999
7,9341.68,111,144.0,10166.800000000001
8,8410.735,123,303.0,10184.800000000001
9,8571.835000000001,138,273.0,10037.845000000001
10,8885.845000000001,151,219.0,10159.330000000002
11,9122.345000000001,165,176.0,10090.345000000001
12,9322.195000000002,197,141.0,10127.305000000002
13,9728.755000000001,206,85.0,10345.855000000001
14,8760.865000000002,219,239.0,10262.980000000001
15,9008.79,250,192.0,10021.59
16,9209.43,264,154.0,10022.550000000001
17,8751.39,267,242.0,10011.0
18,9009.39,271,194.0,10052.14
19,9491.41,286,117.0,10223.83
20,8544.21,293,277.0,10184.05
21,8865.41,309,222.0,10161.89
22,9124.789999999999,317,178.0,10174.099999999999
23,9227.724999999999,340,161.0,10202.579999999998
24,9519.804999999998,341,113.0,10207.409999999998
25,8571.979999999998,352,268.0,10210.799999999997
26,8732.919999999998,358,242.0,10230.899999999998
27,9005.079999999998,373,194.0,10105.059999999998
28,9201.919999999998,398,156.0,10009.999999999998
29,8283.394999999999,403,341.0,9976.46
30,8401.714999999998,448,307.0,9470.074999999999
31,8839.085,453,185.0,9502.31
32,7957.024999999999,472,429.0,9507.859999999999
33,8104.234999999999,495,387.0,9460.669999999998
